,Unnamed: 0,post_text,name,year,month,day,hour,minute_of_day,day_time_sin,day_time_cos,america,uk,canada,time_zone,day_1,day_2,day_3,day_4,day_5,day_6,day_7,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,fitted_followers,words_count,char_count,long_post,is_response,neg,pos,neu,time,top_reactions,words_count_scaled,char_count_scaled,fitted_followers_scaled
7227,33296,My girlfriend had a full blown melt down after sex because she realised we fucked and her Teddy was in her bed....,Linconfess,2019,7,2,9,2.4652775684419903,0.8129617360920296,0.11005775845355914,0,1,0,London,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10552.08396480794,22,114,0,0,0.18,0.0,0.82,,,0.0,-0.008695652173913044,-0.2995273819698134
944,7362,I'm not ok with the change in the shade of red,Bristruths,2020,2,6,17,4.603305902135044,0.0029718308888402323,0.44556656257401744,0,1,0,London,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20761.12247452467,11,46,0,0,0.159,0.0,0.841,,,-0.5,-0.6,0.7410484203465957
10437,16978,"It official, i hate being home, nothing to do... someone pick me up and take me to SoHo so i can get my blue trebs!!!",Newfess,2019,12,2,0,0.06981317007977318,0.5348782368720626,0.998782025129912,0,1,0,London,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9450.616738799612,25,117,0,0,0.172,0.0,0.828,,,0.13636363636363635,0.017391304347826087,-0.4117965384959599
12129,31,I have a crush on my chem TF. So wanna fuck him!,,2017,10,5,22,5.803219762881147,0.2691256933824832,0.9435054165891108,1,0,0,New_York,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,14466.100830318472,12,48,0,0,0.415,0.0,0.585,1508033459.0,,-0.4545454545454545,-0.5826086956521739,0.09941628311991577
13937,1018,"I feel like I belong in a different time. I want to receive flowers and letters, instead I get dick pics and invites for one night stands",,2019,9,6,18,4.948008429403924,0.013815039801161609,0.6167226819279524,0,1,0,London,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,16066.140193542373,27,137,0,0,0.126,0.146,0.728,1567360494.0,"Like,Haha,Sad",0.2272727272727273,0.19130434782608696,0.2625033595904249
2719,48615,A medium rare steak with nothing else on the plate is the Brisfood equivalent of a signet ring.,Bristruths,2019,4,1,21,5.750859885321315,0.2462308185196476,0.9308145802207628,0,1,0,London,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15708.503098379762,18,95,0,0,0.0,0.0,1.0,,,-0.18181818181818185,-0.17391304347826084,0.2260505137242117
11076,19982,I love my girlfriend but i sometimes wish i was single so i could have more fun when shes not visiting me. What do i do?,Newfess,2019,11,3,16,4.372049776245795,0.028679254453910837,0.33309657038311435,0,1,0,London,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9220.902771996289,26,120,0,0,0.0,0.38,0.62,,,0.18181818181818185,0.043478260869565216,-0.4352105745074949
8226,56456,Does anyone know why the students union building occasionally squeaks and sometimes it sounds like a duck?,Linconfess,2019,3,3,2,0.6544984694978736,0.8043807145043603,0.8966766701456176,0,1,0,London,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9407.341990946446,17,106,0,0,0.0,0.14300000000000002,0.857,,,-0.2272727272727273,-0.0782608695652174,-0.4162074000501101
10491,37723,"Me and my housemate are both straight but have been joking and touching each other in a running joke since first year, fucked each other with the blinds open this morning, incredibly liberating.",Newfess,2019,5,4,20,5.388704065532494,0.1100577584535592,0.8129617360920296,0,1,0,London,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7818.670588750854,33,194,1,0,0.15,0.162,0.688,,,0.5,0.6869565217391305,-0.5781357753210427
1549,38920,Day 200 without sex: Started posting about selling LSTD tickets on clifton and stoke bishop tickets page to get girls to dm me.,Bristruths,2019,5,0,1,0.41015237421866746,0.6993745344626231,0.958530037192562,0,1,0,London,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16291.720945141227,23,127,0,0,0.0,0.0,1.0,,,0.045454545454545456,0.10434782608695653,0.2854961097263661
4281,252,Been with my bf nearly 5 years and he’s just decided he doesn’t want a dog? My only want in life is to be a dog mum. Should I dump him?,LeedsFess,2020,7,5,16,4.4069563612856815,0.023141524625886645,0.3496471002478631,0,1,0,London,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,29916.70582028721,31,135,1,0,0.08900000000000001,0.08900000000000001,0.8220000000000001,,,0.4090909090909091,0.17391304347826084,1.6742487875137833
13313,254,"Does anyone else has this mindset that once they have taken a course, it feels like u were the last generation at university taking that class and that class just stops existing after? Today I heard two first years talking about Chem 126 and I thought man ppl are still taking that course ?
Have I been at university for too long ?",,2018,6,3,18,4.90001187497408,0.008774801137245103,0.5932620180043672,0,0,1,Vancouver,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16236.328285958269,63,317,1,0,0.027000000000000003,0.052000000000000005,0.9209999999999999,1530236603.0,"Like,Haha",1.8636363636363635,1.7565217391304349,0.2798501068518657
25,76306,"Why can’t my face be as cute as my body? Hard life when my ugly mug is always exposed and at first sight no one gets to see the true talent beneath my clothes, gonna have to make my Instagram for nudes not selfies",Bristruths,2018,10,6,22,5.859942963570961,0.29464057369326113,0.9558810217885442,0,1,0,London,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13198.854314767144,44,213,1,0,0.152,0.16,0.688,,,1.0,0.8521739130434782,-0.02975024499117148
10088,37099,Can’t tell if my boyfriend just doesn’t want to shag me cause he doesn’t fancy me anymore or whether he is trying to be nice and not distract me during exams? HELP! Every time I try to initiate he says I should revise instead ?????,Newfess,2019,6,0,9,2.5699973235616502,0.7704872356839969,0.07948049351780379,0,1,0,London,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7840.077001524675,45,231,1,0,0.0,0.215,0.785,,,1.0454545454545454,1.008695652173913,-0.5759538857017965
3584,20348,House viewing but at my one night stands house :/,LeedsFess,2019,11,0,19,5.100724738953428,0.03722974799121676,0.6893243086762163,0,1,0,London,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24281.4518975198,10,49,0,0,0.256,0.0,0.7440000000000001,,,-0.5454545454545454,-0.5739130434782609,1.0998647388730367
